method,vector
"|java+method:///smallsql/database/StoreNull/getNumeric(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Where/isAfterLast()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/mapIntervalType(int)|,"[25,23,2,1,0,2]"
"|java+method:///smallsql/database/SSPreparedStatement/setRef(int,java.sql.Ref)|","[5,2,3,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionIIF/isNull()|,"[5,4,1,1,0,1]"
|java+constructor:///smallsql/database/Money/Money(float)|,"[3,2,1,1,1,1]"
|java+constructor:///smallsql/database/MutableLong/MutableLong(long)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/StoreImpl/createWriteLock()|,"[12,5,7,1,2,1]"
|java+method:///smallsql/database/SmallSQLException/setLanguage(java.lang.Object)|,"[21,6,15,1,2,3]"
|java+method:///smallsql/database/Distinct/getRowPosition()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNoCurrentRow/getBoolean(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Store/getNextPagePos()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/ExpressionFunctionAscii/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSetMetaData/isSigned(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setArray(int,java.sql.Array)|","[5,2,3,2,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/locatorsUpdateCopy()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestAlterTable2/tearDown()|,"[7,5,2,1,0,3]"
|java+method:///smallsql/database/MemoryResult/getLong(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Money/hashCode()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/nullsAreSortedLow()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Database/replaceTable(smallsql.database.Table,smallsql.database.Table)|","[19,15,4,2,3,4]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/getNumeric()|,"[7,6,1,1,1,1]"
|java+method:///smallsql/junit/TestGroupBy/testSumDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSubstring/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expression/setAlias(java.lang.String)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/StoreImpl/getNextPagePos()|,"[8,6,2,1,1,2]"
|java+method:///smallsql/database/Expression/getName()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StorePageMap/clear()|,"[9,5,4,1,3,1]"
|java+method:///smallsql/database/TableResult/init(smallsql.database.SSConnection)|,"[20,10,10,1,4,3]"
|java+method:///smallsql/junit/TestOrderBy/test_bigint_withDoublicateValues()|,"[25,19,6,1,10,2]"
"|java+constructor:///smallsql/database/SSResultSet/SSResultSet(smallsql.database.SSStatement,smallsql.database.CommandSelect)|","[6,5,1,2,7,1]"
|java+method:///smallsql/database/MemoryResult/getFloat(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionValue/getScale()|,"[10,8,2,1,1,2]"
|java+method:///smallsql/junit/TestTransactions/testReadUncommited()|,"[20,16,4,1,3,3]"
|java+method:///smallsql/database/SSResultSet/testNotInsertRow()|,"[9,3,6,1,0,2]"
"|java+method:///smallsql/database/IndexDescription/createFile(smallsql.database.SSConnection,smallsql.database.Database)|","[12,10,2,2,3,2]"
"|java+constructor:///smallsql/database/SmallSQLException/SmallSQLException(java.lang.Throwable,java.lang.String,java.lang.String)|","[14,4,10,3,0,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getSuperTypes(java.lang.String,java.lang.String,java.lang.String)|","[4,1,3,3,0,1]"
|java+method:///smallsql/junit/BasicTestCase/getMonth3L(int)|,"[10,2,8,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSin/getDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/setTransactionIsolation(int)|,"[6,4,2,1,1,2]"
|java+method:///smallsql/database/Scrollable/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/dataDefinitionIgnoredInTransactions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Strings/resize(int)|,"[5,4,1,1,2,1]"
"|java+method:///smallsql/database/SSResultSet/updateString(java.lang.String,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Table/getFirstPage()|,"[7,2,5,1,0,1]"
|java+method:///smallsql/database/MemoryStream/readLong()|,"[10,9,1,1,0,1]"
|java+method:///smallsql/database/SSPreparedStatement/clearBatch()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/IndexDescription/isUnique()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/ownInsertsAreVisible(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/isLast()|,"[7,5,2,1,0,3]"
|java+method:///smallsql/database/ExpressionFunctionCase/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/set()|,"[9,7,2,1,1,2]"
|java+method:///smallsql/database/Database/isReadOnly()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/beforeFirst()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/MutableNumeric/negate(byte%5B%5D)|,"[10,7,3,1,4,3]"
|java+method:///smallsql/database/CommandSelect/isAfterLast()|,"[6,2,4,1,0,1]"
"|java+method:///smallsql/database/ExpressionValue/getMoney(java.lang.Object,int)|","[20,18,2,2,0,2]"
|java+method:///smallsql/junit/BasicTestCase/makeNameValid(java.lang.String)|,"[3,2,1,1,0,2]"
|java+method:///smallsql/junit/TestOther/testNoFromResult()|,"[49,39,10,1,3,3]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getPrimaryKeys(java.lang.String,java.lang.String,java.lang.String)|","[9,7,2,3,2,4]"
|java+method:///smallsql/database/Utils/bytes2int(byte%5B%5D)|,"[8,6,2,1,3,2]"
|java+method:///smallsql/database/DateTime/equals(java.lang.Object)|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/ExpressionName/isAutoIncrement()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/IndexNode/addRootValue(long,int)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/MemoryResult/insertRow(smallsql.database.Expression%5B%5D)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Table/freeLock(smallsql.database.TableStorePage)|,"[75,50,25,1,15,18]"
|java+method:///smallsql/database/LongList/get(int)|,"[5,4,1,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setTimestamp(int,java.sql.Timestamp)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnInt/getMoney()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DateTime/valueOf(java.sql.Timestamp)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/DateTime/toString()|,"[30,22,8,1,2,4]"
|java+method:///smallsql/junit/TestTransactions/testUpdateAndSavepoint()|,"[47,32,15,1,7,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsStatementPooling()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expression/setParams(smallsql.database.Expression%5B%5D)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getSearchStringEscape()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expression/getMoney()|,"[1,1,0,1,0,0]"
"|java+method:///smallsql/junit/BasicTestCase/dropView(java.sql.Connection,java.lang.String)|","[7,6,1,2,1,3]"
|java+method:///smallsql/database/ExpressionFunctionUCase/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Join/first()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/getInt(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/CommandSelect/compile(smallsql.database.SSConnection)|,"[99,61,38,1,21,25]"
"|java+method:///smallsql/database/SSCallableStatement/registerOutParameter(java.lang.String,int,int)|","[3,2,1,3,0,1]"
|java+constructor:///smallsql/junit/TestGroupBy/TestGroupBy()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsCoreSQLGrammar()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestLanguage/recreateTestTab(java.sql.Statement)|,"[4,2,2,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getShort(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/test_bigint()|,"[24,18,6,1,7,2]"
"|java+constructor:///smallsql/database/SSCallableStatement/SSCallableStatement(smallsql.database.SSConnection,java.lang.String,int,int)|","[3,2,1,4,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getDateTimeLong()|,"[11,7,4,1,0,2]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/getAutoCommit()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/getMoreResults()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionATan2/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/TableResult/getDataType(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getBoolean()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/lastToken()|,"[9,4,5,1,0,2]"
"|java+method:///smallsql/database/SSCallableStatement/setBinaryStream(java.lang.String,java.io.InputStream,int)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/ExpressionValue/getBytes()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getJDBCMajorVersion()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getCatalogs()|,"[5,4,1,1,2,2]"
|java+method:///smallsql/database/RowSource/isScrollable()|,"[4,1,3,1,0,0]"
|java+method:///smallsql/database/ExpressionFunctionSpace/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRadians/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/database/IndexDescription/create(smallsql.database.SSConnection,smallsql.database.Database,smallsql.database.TableView)|","[7,3,4,3,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/othersUpdatesAreVisible(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/rowInserted()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SQLParser/index(smallsql.database.Command,int,java.lang.String,java.lang.String,java.lang.String)|","[37,20,17,5,3,6]"
|java+method:///smallsql/database/Scrollable/nullRow()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getColumnTypeName(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsTableCorrelationNames()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/getRow()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/FileIndex/FileIndex(smallsql.database.FileIndexNode,java.nio.channels.FileChannel)|","[4,3,1,2,1,1]"
|java+method:///smallsql/database/Command/getMaxRows()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getDatabaseMajorVersion()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/TableViewMap/get(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestJoins/suite()|,"[7,5,2,1,1,2]"
"|java+method:///smallsql/database/Index/equals(char%5B%5D,long,int)|","[9,7,2,3,1,2]"
|java+method:///smallsql/database/SSResultSet/getFloat(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/getTimestamp(java.lang.String,java.util.Calendar)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxColumnsInSelect()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryStream/readInt()|,"[6,5,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getByte(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getBoolean()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/rowUpdated()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/init()|,"[61,54,7,1,8,4]"
"|java+method:///smallsql/database/SSResultSet/updateObject(java.lang.String,java.lang.Object,int)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getDataType()|,"[9,6,3,1,2,3]"
|java+method:///smallsql/database/Logger/println(java.lang.String)|,"[10,7,3,1,1,3]"
"|java+method:///smallsql/junit/TestOperatoren/a(java.lang.String,java.lang.Object,java.lang.Object)|","[7,6,1,3,4,1]"
|java+method:///smallsql/database/SQLParser/update()|,"[28,23,5,1,7,3]"
|java+method:///smallsql/database/ExpressionArithmetic/getScale()|,"[21,18,3,1,1,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/getSchemas()|,"[5,4,1,1,2,2]"
|java+method:///smallsql/database/ExpressionFunctionPower/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getBytes()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestThreads/testConcurrentConnectionWrite()|,"[52,30,22,1,11,10]"
|java+method:///smallsql/database/Column/getPrecision()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSPreparedStatement/executeUpdate()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/afterLast()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/IndexNode/removeNode(char)|,"[14,8,6,1,4,2]"
|java+method:///smallsql/database/StoreImpl/getLink()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxTableNameLength()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/NoFromResult/nullRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/datatype(boolean)|,"[118,93,25,1,38,19]"
|java+method:///smallsql/junit/TestTransactions/testRollbackWithOneCommitRow()|,"[29,19,10,1,1,5]"
|java+method:///smallsql/junit/BenchTest/test_UpdateRowsPrepare(java.sql.Connection)|,"[46,38,8,1,90,6]"
|java+method:///smallsql/database/SSCallableStatement/getURL(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOperatoren/runTest()|,"[103,87,16,1,27,1]"
|java+method:///smallsql/junit/TestTransactions/testInsertAndUpdate()|,"[44,28,16,1,5,5]"
|java+method:///smallsql/database/SortedResult/getRowPosition()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestDeleteUpdate/testUpdate1()|,"[30,23,7,1,14,2]"
"|java+method:///smallsql/database/ExpressionFunctionCase/addCase(smallsql.database.Expression,smallsql.database.Expression)|","[4,3,1,2,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setBoolean(int,boolean)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/LongTreeList/writePointer(int)|,"[8,3,5,1,1,2]"
|java+method:///smallsql/database/MemoryResult/isScrollable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getTableAlias()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/MutableInteger/getImmutableObject()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Utils/getExpressionNameFromTree(smallsql.database.Expressions,smallsql.database.Expression)|","[14,7,7,2,1,4]"
|java+method:///smallsql/database/UnionAll/setRowPosition(long)|,"[9,6,3,1,4,1]"
"|java+method:///smallsql/junit/AllTests/createConnection(java.lang.String,java.util.Properties)|","[24,9,15,2,1,1]"
|java+method:///smallsql/database/Store/isNull(int)|,"[1,1,0,1,0,0]"
"|java+method:///smallsql/database/SQLParser/createSyntaxError(smallsql.database.SQLToken,java.lang.String,java.lang.Object)|","[16,4,12,3,1,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxUniqueidentifier()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/Utils/bytes2double(byte%5B%5D)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testUnion()|,"[31,23,8,1,9,4]"
|java+method:///smallsql/junit/TestResultSet/setUp()|,"[16,13,3,1,5,1]"
|java+method:///smallsql/database/ViewResult/noRow()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/MutableFloat/MutableFloat(float)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/Expression/isNullable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DateTime/valueOf(java.sql.Date)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/setSavepoint()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/FileIndex/load(java.nio.channels.FileChannel)|,"[8,7,1,1,4,1]"
|java+method:///smallsql/database/SSCallableStatement/getInt(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/getObject()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getBytes(int)|,"[9,7,2,1,4,3]"
|java+method:///smallsql/database/StoreImpl/writeTime(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/CommandSelect/getRow()|,"[8,4,4,1,1,1]"
|java+method:///smallsql/database/ExpressionFunction/createUnspportedDataType(int)|,"[11,6,5,1,1,2]"
"|java+method:///smallsql/database/Database/getBestRowIdentifier(smallsql.database.SSConnection,java.lang.String)|","[34,28,6,2,19,5]"
|java+method:///smallsql/database/DataSources/get(int)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1/getScale()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(float)|,"[4,2,2,1,0,1]"
"|java+constructor:///smallsql/database/IndexDescription/IndexDescription(java.lang.String,java.lang.String,int,smallsql.database.Expressions,smallsql.database.Strings)|","[11,5,6,5,4,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/getInt()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionYear/getFunction()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreNull/getBytes(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getBytes()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readByte()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Column/setPrecision(int)|,"[4,3,1,1,1,2]"
|java+method:///smallsql/junit/TestOperatoren/setUp()|,"[41,32,9,1,3,3]"
|java+method:///smallsql/junit/TestJoins/insertValues(java.sql.PreparedStatement)|,"[29,22,7,1,0,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testDuplicatedCreateTable()|,"[21,15,6,1,3,5]"
|java+method:///smallsql/database/Join/beforeFirst()|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/ExpressionFunctionDifference/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/CommandSelect/absolute(int)|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getFunction()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/DateTime/Details/Details(long)|,"[54,41,13,1,19,11]"
|java+method:///smallsql/database/SSResultSet/getUnicodeStream(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Index/add(smallsql.database.IndexNode,long,char%5B%5D,boolean)|","[34,23,11,4,6,8]"
|java+method:///smallsql/database/LongLongList/get2(int)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxCharLiteralLength()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/rollback(int)|,"[10,7,3,1,1,3]"
|java+method:///smallsql/database/SSConnection/add(smallsql.database.TransactionStep)|,"[9,4,5,1,0,2]"
|java+method:///smallsql/database/ExpressionArithmetic/createUnspportedConversion(int)|,"[9,8,1,1,4,2]"
|java+method:///smallsql/database/ExpressionFunctionSign/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1/getDataType()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/IndexNode/findNodePos(char,int,int)|","[12,10,2,3,2,3]"
|java+method:///smallsql/database/language/Language/getMessage(java.lang.String)|,"[5,4,1,1,2,1]"
|java+method:///smallsql/junit/TestThreads/testConcurrentRead()/$anonymous1/run()|,"[7,5,2,1,1,3]"
|java+method:///smallsql/database/GroupResult/execute()|,"[25,15,10,1,0,5]"
"|java+method:///smallsql/database/DateTime/valueOf(java.lang.String,int)|","[7,3,4,2,0,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getProcedures(java.lang.String,java.lang.String,java.lang.String)|","[5,4,1,3,2,2]"
|java+method:///smallsql/junit/AllTests/main(java.lang.String%5B%5D)|,"[8,5,3,1,0,4]"
|java+method:///smallsql/database/Command/setMaxRows(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/MemoryResult/move()|,"[8,6,2,1,2,2]"
|java+method:///smallsql/database/Where/getRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/isNull(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionValue/getNumeric()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/LongTreeList/getNext(smallsql.database.LongTreeListEnum)|,"[37,26,11,1,18,5]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsGroupBy()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeDate(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/othersDeletesAreVisible(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexNode/save(smallsql.database.StoreImpl)|,"[29,22,7,1,3,6]"
|java+method:///smallsql/database/SSResultSet/getClob(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/longValue()|,"[27,20,7,1,3,8]"
|java+method:///smallsql/database/MutableNumeric/toBigDecimal(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Join/afterLast()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/SSResultSet/getByte(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Database/dropView(java.lang.String)|,"[9,6,3,1,1,2]"
|java+method:///smallsql/junit/TestDeleteUpdate/testUpdate2()|,"[31,23,8,1,16,2]"
|java+method:///smallsql/database/SSCallableStatement/getShort(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/getGeneratedKeys()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRTrim/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getWarnings()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableInteger/toString()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/createUnspportedDataType()|,"[7,6,1,1,1,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsDataDefinitionAndDataManipulationTransactions()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/View/drop(smallsql.database.Database,java.lang.String)|","[8,4,4,2,2,1]"
|java+method:///smallsql/database/DataSource/getMoney(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSelectForUpdate()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(smallsql.database.MutableNumeric)|,"[6,5,1,1,3,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/clearBatch()|,"[6,5,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_ScollableDesc()|,"[29,22,7,1,6,1]"
|java+method:///smallsql/database/Join/rowInserted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getScale()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableDouble/floatValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getString()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Where/setRowPosition(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Utils/money2int(long)|,"[5,4,1,1,0,1]"
"|java+constructor:///smallsql/database/CommandCreateDatabase/CommandCreateDatabase(smallsql.database.Logger,java.lang.String)|","[7,6,1,2,3,1]"
"|java+method:///smallsql/database/IndexNode/createIndexNode(boolean,char)|","[8,2,6,2,0,1]"
|java+method:///smallsql/database/UnionAll/getNumeric(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/View/createColumns(smallsql.database.SSConnection)|,"[14,11,3,1,3,4]"
|java+method:///smallsql/database/SSDatabaseMetaData/getMaxColumnsInIndex()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/init(smallsql.database.SSConnection)|,"[15,13,2,1,6,3]"
|java+method:///smallsql/junit/TestDBMetaData/testGetCatalogs()|,"[13,11,2,1,3,6]"
|java+method:///smallsql/database/Scrollable/execute()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SmallSQLException/printStackTrace()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getDataType()|,"[24,22,2,1,0,2]"
|java+method:///smallsql/database/DateTime/valueOf(java.sql.Time)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Expression/equals(java.lang.Object)|,"[23,15,8,1,4,4]"
|java+method:///smallsql/database/ExpressionFunctionReplace/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getLong(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/LongTreeList/writeShort(int)|,"[8,3,5,1,2,1]"
"|java+method:///smallsql/database/MutableNumeric/add(int,int%5B%5D)|","[14,12,2,2,6,2]"
|java+method:///smallsql/database/RowSource/next()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSCallableStatement/getFloat(int)|,"[9,7,2,1,2,3]"
|java+method:///smallsql/database/SSResultSetMetaData/getTableName(int)|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/SSConnection/SSConnection(java.util.Properties)|,"[9,8,1,1,6,1]"
|java+method:///smallsql/junit/TestResultSet/testOther()|,"[20,13,7,1,3,1]"
|java+method:///smallsql/junit/TestOperatoren/main(java.lang.String%5B%5D)|,"[3,2,1,1,0,2]"
|java+method:///smallsql/database/LongLongList/get1(int)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1Number/getLong()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/setCatalog(java.lang.String)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/IndexNode/getChildNode(char)|,"[9,4,5,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsOpenCursorsAcrossRollback()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getNumeric()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSStatement/execute(java.lang.String,java.lang.String%5B%5D)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getScale()|,"[7,5,2,1,2,2]"
