method,vector
|java+method:///smallsql/database/IndexNode/addRoot(char)|,"[11,4,7,1,1,1]"
|java+method:///smallsql/database/MutableNumeric/setSignum(int)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/TransactionStep/commit()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/TransactionStep/freeLock()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getDriverMinorVersion()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnInt/getLong()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Table/requestLock(smallsql.database.SSConnection,int,long)|","[28,15,13,3,4,4]"
|java+method:///smallsql/database/ExpressionFunctionOctetLen/getInt()|,"[7,4,3,1,1,1]"
|java+method:///smallsql/database/IndexDescription/getName()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateBigDecimal(int,java.math.BigDecimal)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SmallSQLException/printStackTrace(java.io.PrintStream)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSchemasInIndexDefinitions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/FileIndexNode/saveRef(smallsql.database.StoreImpl)|,"[7,5,2,1,0,2]"
|java+method:///smallsql/database/IndexNode/clear()|,"[5,4,1,1,3,1]"
|java+method:///smallsql/database/UnionAll/noRow()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/Index/bytesToBinarySortOrder(byte%5B%5D)|,"[8,6,2,1,3,2]"
|java+method:///smallsql/database/TableView/getTimestamp()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSDatabaseMetaData/getIndexInfo(java.lang.String,java.lang.String,java.lang.String,boolean,boolean)|","[9,7,2,5,2,4]"
"|java+constructor:///smallsql/database/Distinct/Distinct(smallsql.database.RowSource,smallsql.database.Expressions)|","[4,3,1,2,2,1]"
|java+method:///smallsql/database/SSConnection/getWarnings()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestTokenizer/testMultiLine()|,"[21,15,6,1,3,1]"
|java+method:///smallsql/database/CommandCreateView/addColumn(smallsql.database.Column)|,"[7,2,5,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionDayOfMonth/getFunction()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/Columns/Columns()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/ExpressionName/getFloat()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/Command/Command(smallsql.database.Logger)|,"[4,3,1,1,2,1]"
|java+method:///smallsql/database/Distinct/rowDeleted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionRTrim/isNull()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Utils/createIdxFileName(smallsql.database.Database,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/IndexNode/addNode(char)|,"[15,9,6,1,2,3]"
